indicator,Saudi,Non Saudi,Total
Average Household Monthly Disposable Income ,18056,5428,11839
Median Household Monthly Disposable Income,13655,3657,7362
Average Per-capita Monthly Disposable Income ,3977,1908,3195
Median Per-capita Monthly Disposable Income,2896,1372,2220
Average Household Monthly Consumption Expenditure,16028,5574,10884
Median Household Monthly Consumption Expenditure,12767,4437,7654
Average Monthly Consumption Expenditure Per-capita,3533,1961,2939
Median Monthly Consumption Expenditure Per-capita ,2803,1665,2260
Average Household Monthly Final Monetary Consumption Expenditure,13536,5188,9426
Median Household Monthly Final Monetary Consumption Expenditure,10659,4144,6670
Average Monthly Final Monetary Consumption Expenditure Per-capita,2984,1825,2546
Median Monthly Final Monetary Consumption Expenditure Per-capita ,2353,1515,1952
