indicator,Saudi,Non_Saudi,Total,gap_percentage
"Average Household Monthly Disposable Income ",18056,5428,11839,232.6
Median Household Monthly Disposable Income,13655,3657,7362,273.4
"Average Per-capita Monthly Disposable Income ",3977,1908,3195,108.4
Median Per-capita Monthly Disposable Income,2896,1372,2220,111.1
Average Household Monthly Consumption Expenditure,16028,5574,10884,187.5
Median Household Monthly Consumption Expenditure,12767,4437,7654,187.7
Average Monthly Consumption Expenditure Per-capita,3533,1961,2939,80.2
"Median Monthly Consumption Expenditure Per-capita ",2803,1665,2260,68.3
Average Household Monthly Final Monetary Consumption Expenditure,13536,5188,9426,160.9
Median Household Monthly Final Monetary Consumption Expenditure,10659,4144,6670,157.2
Average Monthly Final Monetary Consumption Expenditure Per-capita,2984,1825,2546,63.5
"Median Monthly Final Monetary Consumption Expenditure Per-capita ",2353,1515,1952,55.3
